date,c1,c2,c3,c4
2022-04-04,103.28,101.84,100.6,99.28
2022-04-05,101.96,100.68,99.55,98.31
2022-04-06,96.23,95.41,94.63,93.76
2022-04-07,96.03,95.51,94.81,94.12
2022-04-08,98.26,97.73,97.01,96.29
2022-04-11,94.29,93.92,93.46,92.97
2022-04-12,100.6,100.15,99.4,98.52
2022-04-13,104.25,103.79,102.89,101.76
2022-04-14,106.95,106.38,105.44,104.03
2022-04-18,108.21,107.61,106.41,104.74
2022-04-19,102.56,102.05,101.16,99.84
2022-04-20,102.75,102.19,101.36,100.17
2022-04-21,103.79,102.96,101.74,100.23
2022-04-22,102.07,101.05,99.72,98.16
2022-04-25,98.54,97.67,96.53,95.18
2022-04-26,101.7,100.41,98.95,97.39
2022-04-27,102.02,100.68,99.21,97.66
2022-04-28,105.36,103.47,101.52,99.47
2022-04-29,104.69,102.94,100.88,98.69
2022-05-02,105.17,103.42,101.38,99.29
2022-05-03,102.41,100.9,99.22,97.52
2022-05-04,107.81,106.22,104.42,102.49
2022-05-05,108.26,106.74,104.86,102.84
2022-05-06,109.77,108.33,106.48,104.45
2022-05-09,103.09,101.77,100.1,98.35
2022-05-10,99.76,98.45,96.87,95.26
2022-05-11,105.71,104.03,102.2,100.34
2022-05-12,106.13,104.4,102.42,100.42
2022-05-13,110.49,108.63,106.27,103.86
2022-05-16,114.2,111.82,108.91,105.93
2022-05-17,112.4,109.63,106.76,103.86
2022-05-18,109.59,107.04,104.07,101.08
2022-05-19,112.21,109.89,106.82,103.67
2022-05-20,113.23,110.28,107.17,103.94
2022-05-23,110.29,107.54,104.61,101.94
2022-05-24,109.77,107.2,104.45,101.93
2022-05-25,110.33,107.75,105.03,102.54
2022-05-26,114.09,111.25,108.28,105.57
2022-05-27,115.07,112.23,109.23,106.48
2022-05-31,114.67,111.91,108.9,106.05
2022-06-01,115.26,112.72,109.96,107.32
2022-06-02,116.87,114.3,111.58,108.85
2022-06-03,118.87,116.23,113.47,110.7
2022-06-06,118.5,116.06,113.35,110.67
2022-06-07,119.41,117.1,114.54,112.04
2022-06-08,122.11,119.78,117.15,114.57
2022-06-09,121.51,119.09,116.49,114.01
2022-06-10,120.67,118.12,115.34,112.73
2022-06-13,120.93,118.25,115.31,112.62
2022-06-14,118.93,116.26,113.48,110.86
2022-06-15,115.31,113.09,110.75,108.42
2022-06-16,117.59,115.25,112.7,110.25
2022-06-17,109.56,107.99,105.78,103.57
2022-06-21,110.65,109.52,107.34,105.06
2022-06-22,106.19,103.99,101.83,99.9
2022-06-23,104.27,101.58,99.05,96.88
2022-06-24,107.62,104.45,101.47,98.97
2022-06-27,109.57,106.38,103.3,100.68
2022-06-28,111.76,108.89,105.99,103.43
2022-06-29,109.78,107.01,104.13,101.56
2022-06-30,105.76,103.1,100.27,97.75
2022-07-01,108.43,105.39,102.31,99.62
2022-07-05,99.5,96.52,93.44,90.73
2022-07-06,98.53,94.98,91.85,89.24
2022-07-07,102.73,99.25,96.04,93.24
2022-07-08,104.79,101.53,98.37,95.59
2022-07-11,104.09,101.21,98.2,95.58
2022-07-12,95.84,93.31,90.7,88.48
2022-07-13,96.3,93.83,91.36,89.27
2022-07-14,95.78,92.83,90.15,87.96
2022-07-15,97.59,94.57,91.74,89.37
2022-07-18,102.6,99.42,96.36,93.79
2022-07-19,104.22,100.74,97.45,94.71
2022-07-20,102.26,99.88,96.88,94.45
2022-07-21,96.35,93.78,91.72,89.95
2022-07-22,94.7,92.43,90.6,88.93
2022-07-25,96.7,94.42,92.58,90.89
2022-07-26,94.98,92.88,91.32,89.84
2022-07-27,97.26,95.29,93.79,92.34
2022-07-28,96.42,94.65,93.28,91.91
2022-07-29,98.62,96.75,95.3,93.87
2022-08-01,93.89,92.39,91.34,90.29
2022-08-02,94.42,93.22,92.29,91.33
2022-08-03,90.66,89.74,89.07,88.32
2022-08-04,88.54,87.56,86.81,85.99
2022-08-05,89.01,88.08,87.26,86.39
2022-08-08,90.76,89.93,89.16,88.36
2022-08-09,90.5,89.67,88.9,88.08
2022-08-10,91.93,91.2,90.47,89.68
2022-08-11,94.34,93.53,92.69,91.79
2022-08-12,92.09,91.46,90.87,90.16
2022-08-15,89.41,88.85,88.41,87.9
2022-08-16,86.53,86.16,85.86,85.48
2022-08-17,88.11,87.69,87.3,86.84
2022-08-18,90.5,90.11,89.67,89.08
2022-08-19,90.77,90.44,90.11,89.61
2022-08-22,90.23,90.36,89.97,89.45
2022-08-23,93.74,93.25,92.53,91.68
2022-08-24,94.89,94.4,93.65,92.72
2022-08-25,92.52,92.19,91.58,90.71
2022-08-26,93.06,92.39,91.55,90.5
2022-08-29,97.01,96.19,95.03,93.73
2022-08-30,91.64,91.17,90.46,89.53
2022-08-31,89.55,89.03,88.31,87.52
2022-09-01,86.61,86.22,85.66,84.99
2022-09-02,86.87,86.48,85.9,85.19
2022-09-06,86.88,86.51,86.03,85.43
2022-09-07,81.94,81.63,81.25,80.75
2022-09-08,83.54,83.07,82.46,81.8
2022-09-09,86.79,86.36,85.75,85.05
2022-09-12,87.78,87.41,86.86,86.21
2022-09-13,87.31,86.89,86.25,85.5
2022-09-14,88.48,88.05,87.36,86.5
2022-09-15,85.1,84.65,83.9,82.96
2022-09-16,85.11,84.76,84.07,83.16
2022-09-19,85.73,85.36,84.61,83.68
2022-09-20,84.45,83.94,83.28,82.37
2022-09-21,82.94,82.43,81.62,80.68
2022-09-22,83.49,83.03,82.27,81.33
2022-09-23,78.74,78.25,77.53,76.73
2022-09-26,76.71,76.18,75.45,74.61
2022-09-27,78.5,77.81,76.93,75.98
2022-09-28,82.15,81.24,80.2,79.09
2022-09-29,81.23,80.42,79.42,78.3
2022-09-30,79.49,78.72,77.75,76.63
2022-10-03,83.63,82.7,81.38,79.96
2022-10-04,86.52,85.5,84.17,82.71
2022-10-05,87.76,86.84,85.7,84.42
2022-10-06,88.45,87.59,86.51,85.3
2022-10-07,92.64,91.35,89.85,88.3
2022-10-10,91.13,89.84,88.4,86.88
2022-10-11,89.35,87.97,86.56,85.1
2022-10-12,87.27,86.06,84.74,83.35
2022-10-13,89.11,87.95,86.65,85.25
2022-10-14,85.61,84.65,83.55,82.29
2022-10-17,85.46,84.53,83.51,82.31
2022-10-18,82.82,82.07,81.29,80.36
2022-10-19,85.55,84.52,83.42,82.25
2022-10-20,85.98,84.51,83.3,81.99
2022-10-21,85.05,83.95,82.65,81.43
2022-10-24,84.58,83.59,82.39,81.25
2022-10-25,85.32,84.31,83.15,82.05
2022-10-26,87.91,86.68,85.34,84.05
2022-10-27,89.08,87.83,86.43,85.06
2022-10-28,87.9,86.61,85.17,83.83
2022-10-31,86.53,85.4,84.1,82.88
2022-11-01,88.37,87.19,85.82,84.53
2022-11-02,90.0,88.86,87.53,86.27
2022-11-03,88.17,87.18,86.02,84.87
2022-11-04,92.61,91.45,90.12,88.83
2022-11-07,91.79,90.73,89.54,88.38
2022-11-08,88.91,88.0,86.95,85.91
2022-11-09,85.83,85.0,84.0,83.02
2022-11-10,86.47,85.66,84.69,83.7
2022-11-11,88.96,88.16,87.17,86.14
2022-11-14,85.87,85.16,84.36,83.52
2022-11-15,86.92,86.25,85.52,84.77
2022-11-16,85.59,85.0,84.26,83.52
2022-11-17,81.64,81.4,81.09,80.67
2022-11-18,80.08,80.11,79.83,79.49
2022-11-21,79.73,80.04,79.91,79.72
2022-11-22,80.95,80.73,80.48,80.14
2022-11-23,77.94,78.07,78.12,78.05
2022-11-25,76.28,76.43,76.54,76.54
2022-11-28,77.24,77.33,77.36,77.24
2022-11-29,78.2,78.28,78.32,78.24
2022-11-30,80.55,80.66,80.75,80.71
2022-12-01,81.22,81.14,81.03,80.85
2022-12-02,79.98,80.05,80.08,80.02
2022-12-05,76.93,77.08,77.2,77.31
2022-12-06,74.25,74.46,74.63,74.75
2022-12-07,72.01,72.28,72.52,72.72
2022-12-08,71.46,71.58,71.72,71.9
2022-12-09,71.02,71.21,71.43,71.67
2022-12-12,73.17,73.28,73.46,73.63
2022-12-13,75.39,75.44,75.58,75.67
2022-12-14,77.28,77.31,77.33,77.28
2022-12-15,76.11,76.15,76.12,75.99
2022-12-16,74.29,74.46,74.54,74.52
2022-12-19,75.19,75.38,75.44,75.38
2022-12-20,76.09,76.23,76.23,76.16
2022-12-21,78.29,78.24,78.09,77.82
2022-12-22,77.49,77.42,77.26,76.99
2022-12-23,79.56,79.64,79.62,79.42
2022-12-27,79.53,79.64,79.68,79.57
2022-12-28,78.96,79.08,79.13,79.05
2022-12-29,78.4,78.5,78.54,78.46
2022-12-30,80.26,80.45,80.53,80.45
2023-01-03,76.93,77.12,77.27,77.33
2023-01-04,72.84,73.1,73.33,73.51
2023-01-05,73.67,73.92,74.14,74.3
2023-01-06,73.77,74.04,74.26,74.44
2023-01-09,74.63,74.92,75.17,75.39
2023-01-10,75.12,75.37,75.6,75.77
2023-01-11,77.41,77.68,77.9,78.04
2023-01-12,78.39,78.65,78.88,79.0
2023-01-13,79.86,80.11,80.3,80.38
2023-01-17,80.18,80.45,80.65,80.71
2023-01-18,79.48,79.8,80.03,80.16
2023-01-19,80.33,80.61,80.85,80.99
2023-01-20,81.31,81.64,81.89,82.0
2023-01-23,81.62,81.93,82.13,82.14
2023-01-24,80.13,80.44,80.65,80.65
2023-01-25,80.15,80.44,80.63,80.61
2023-01-26,81.01,81.28,81.44,81.38
2023-01-27,79.68,79.96,80.14,80.08
2023-01-30,77.9,78.18,78.37,78.34
2023-01-31,78.87,79.17,79.38,79.36
2023-02-01,76.41,76.73,76.94,76.92
2023-02-02,75.88,76.2,76.44,76.45
2023-02-03,73.39,73.74,74.0,74.05
2023-02-06,74.11,74.47,74.74,74.83
2023-02-07,77.14,77.39,77.56,77.56
2023-02-08,78.47,78.69,78.84,78.81
2023-02-09,78.06,78.27,78.39,78.35
2023-02-10,79.72,79.92,80.04,79.95
2023-02-13,80.14,80.33,80.45,80.36
2023-02-14,79.06,79.24,79.4,79.37
2023-02-15,78.59,78.83,79.02,79.01
