date,close,high,low,open,volume
2024-09-04,1501.5824,1504.5071,1486.6612,1487.8509,11983304
2024-09-05,1480.1921,1512.7114,1474.3179,1506.044,16264168
2024-09-06,1452.2831,1484.1826,1449.1105,1479.7212,19394228
2024-09-09,1449.9285,1457.3396,1443.1371,1453.9438,9010298
2024-09-10,1449.0115,1459.4464,1445.0952,1447.9952,10768260
2024-09-11,1439.0723,1456.1746,1435.1561,1450.5234,9760202
2024-09-12,1467.1299,1473.2767,1433.4953,1444.525,22349376
2024-09-13,1460.0164,1470.4513,1456.9181,1463.7591,8711328
2024-09-16,1458.7523,1468.2206,1452.2089,1464.8993,5481774
2024-09-17,1459.6942,1464.8248,1454.0678,1461.3796,5935328
2024-09-18,1450.9198,1469.311,1448.0447,1457.4138,8574714
2024-09-19,1457.0917,1463.8582,1443.0876,1453.696,16955902
2024-09-20,1473.2025,1482.1998,1458.777,1461.3796,30897320
2024-09-23,1480.5887,1488.6442,1476.2016,1478.2341,8832314
2024-09-24,1476.6229,1487.6527,1475.1358,1475.7554,17137444
2024-09-25,1481.1587,1483.6869,1467.5264,1471.1948,7069002
2024-09-26,1485.1245,1491.1228,1475.3094,1477.8871,18818998
2024-09-27,1513.1079,1520.3453,1479.2255,1486.1655,20597478
2024-09-30,1463.9325,1511.9181,1461.7762,1506.3909,27008814
2024-10-01,1452.2831,1475.2101,1450.3002,1467.9727,16431642
2024-10-03,1394.9285,1436.9903,1390.0704,1424.275,37757294
2024-10-04,1374.6536,1405.2146,1369.9442,1391.9046,37072876
2024-10-07,1358.9888,1384.5431,1349.7188,1381.5688,22181340
2024-10-08,1385.3857,1389.0045,1353.4119,1361.2194,17020808
2024-10-09,1362.8307,1388.9799,1360.7487,1385.5595,14310610
2024-10-10,1359.311,1374.133,1357.6999,1368.2092,22358646
2024-10-11,1360.3521,1371.4314,1357.1051,1358.2701,7980122
2024-10-14,1360.7734,1368.2587,1356.535,1367.6391,12221432
2024-10-15,1332.5175,1359.9554,1329.2209,1346.8933,33762794
2024-10-16,1342.4814,1352.3215,1326.1723,1328.527,20034438
2024-10-17,1344.8113,1356.7332,1340.4737,1354.0068,15543660
